#Time, x, y, z
27.5184,135,125,-13.9254414338
27.5562,135,125,-13.9248546265
27.594,135,125,-13.9242779553
27.6318,135,125,-13.9237115014
27.6696,135,125,-13.9231553486
27.7074,135,125,-13.922609556
27.7452,135,125,-13.9220741953
27.783,135,125,-13.9215493477
27.8208,135,125,-13.9210350834
27.8586,135,125,-13.9205314665
27.8964,135,125,-13.9200385599
27.9342,135,125,-13.9195564284
27.972,135,125,-13.9190851418
28.0098,135,125,-13.9186247711
28.0476,135,125,-13.918175384
28.0854,135,125,-13.9177370444
28.1232,135,125,-13.9173098159
28.161,135,125,-13.9168937631
28.1988,135,125,-13.9164889491
28.2366,135,125,-13.9160954366
28.2744,135,125,-13.9157132857
28.3122,135,125,-13.915342556
28.35,135,125,-13.9149833061
28.3878,135,125,-13.9146355935
28.4256,135,125,-13.9142994759
28.4634,135,125,-13.9139750104
28.5012,135,125,-13.9136622519
28.539,135,125,-13.9133612524
28.5768,135,125,-13.9130720634
28.6146,135,125,-13.912794736
28.6524,135,125,-13.9125293229
28.6902,135,125,-13.9122758905
28.728,135,125,-13.9120344974
28.7658,135,125,-13.9118051704
28.8036,135,125,-13.9115879496
28.8414,135,125,-13.9113828907
28.8792,135,125,-13.9111900279
28.917,135,125,-13.911009397
28.9548,135,125,-13.9108410454
28.9926,135,125,-13.9106850138
29.0304,135,125,-13.9105413317
29.0682,135,125,-13.9104100259
29.106,135,125,-13.9102911245
29.1438,135,125,-13.9101846559
29.1816,135,125,-13.91009065
29.2194,135,125,-13.9100091395
29.2572,135,125,-13.9099401537
29.295,135,125,-13.9098837167
29.3328,135,125,-13.9098398481
29.3706,135,125,-13.9098085654
29.4084,135,125,-13.9097898881
29.4462,135,125,-13.9097838389
29.484,135,125,-13.9097904402
29.5218,135,125,-13.9098097074
29.5596,135,125,-13.9098416427
29.5974,135,125,-13.9098862427
29.6352,135,125,-13.909943508
29.673,135,125,-13.9100134413
29.7108,135,125,-13.9100960423
29.7486,135,125,-13.9101913075
29.7864,135,125,-13.9102992315
29.8242,135,125,-13.9104198073
29.862,135,125,-13.9105530325
29.8998,135,125,-13.910698905
29.9376,135,125,-13.9108574018
29.9754,135,125,-13.9110284986
30.0132,135,125,-13.9112121887
30.051,135,125,-13.9114084506
30.0888,135,125,-13.9116172495
30.1266,135,125,-13.9118385606
30.1644,135,125,-13.9120723577
30.2022,135,125,-13.9123186105
30.24,135,125,-13.9125772891
30.2778,135,125,-13.9128483619
30.3156,135,125,-13.9131317915
30.3534,135,125,-13.9134275338
30.3912,135,125,-13.9137355377
30.429,135,125,-13.9140557506
30.4668,135,125,-13.9143881229
30.5046,135,125,-13.9147326047
30.5424,135,125,-13.9150891403
30.5802,135,125,-13.9154576697
30.618,135,125,-13.9158381319
30.6558,135,125,-13.916230463
30.6936,135,125,-13.9166345966
30.7314,135,125,-13.9170504645
30.7692,135,125,-13.9174779946
30.807,135,125,-13.9179171114
30.8448,135,125,-13.9183677375
30.8826,135,125,-13.9188297934
30.9204,135,125,-13.9193031981
30.9582,135,125,-13.919787868
30.996,135,125,-13.9202837156
31.0338,135,125,-13.9207906519
31.0716,135,125,-13.9213085864
31.1094,135,125,-13.9218374264
31.1472,135,125,-13.9223770779
31.185,135,125,-13.9229274576
31.2228,135,125,-13.9234884734
31.2606,135,125,-13.9240600067
31.2984,135,125,-13.9246419524
31.3362,135,125,-13.9252342134
31.374,135,125,-13.9258366729
31.4118,135,125,-13.9264492172
31.4496,135,125,-13.9270717389
31.4874,135,125,-13.9277041241
31.5252,135,125,-13.9283462505
